sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
31294142059,2021-03-12T08:20:30Z,73,21,16,36,81,68,0.13728129205921938
31294142058,2021-03-11T09:43:00Z,84,22,19,43,99,68,0.13602550478214664
31264008171,2021-03-10T09:10:30Z,87,22,19,46,85,69,0.13500482160077146
31256140276,2021-03-09T07:56:30Z,77,21,20,36,75,69,0.11664482306684142
31256140275,2021-03-08T08:02:00Z,77,21,20,36,77,69,0.12951807228915663
31256140274,2021-03-07T08:11:00Z,77,22,19,36,83,68,0.11173974540311174
31256140273,2021-03-06T12:19:30Z,80,22,19,39,99,68,0.13745704467353953
31256140272,2021-03-05T09:11:30Z,70,20,17,33,61,68,0.15022091310751104
31183907787,2021-03-04T08:54:30Z,85,24,20,41,124,68,0.12270531400966184
31183907786,2021-03-03T07:37:30Z,52,21,12,19,41,68,0.22929936305732485
31160314187,2021-03-02T07:53:00Z,69,20,18,31,75,66,0.12129380053908356
31137645004,2021-03-01T08:11:00Z,79,22,20,37,88,67,0.12899106002554278
31126195810,2021-02-28T11:10:00Z,89,23,19,47,119,66,0.12944664031620554
31126195809,2021-02-27T09:02:30Z,80,20,20,40,75,66,0.12711022840119166
31126195808,2021-02-26T10:09:00Z,82,21,21,40,81,67,0.09715025906735751
31090913950,2021-02-25T08:40:30Z,85,22,21,42,90,68,0.11962224554039874
31090913949,2021-02-24T09:07:00Z,86,22,21,43,115,68,0.10640608034744843
31055161182,2021-02-23T11:05:30Z,85,21,18,46,104,67,0.1773177317731773
31055161181,2021-02-22T08:02:30Z,84,22,20,42,103,66,0.14394765539803708
31037832061,2021-02-21T08:35:00Z,87,22,19,46,92,65,0.11456483126110124
31012846111,2021-02-20T06:44:00Z,79,22,20,37,98,65,0.11661807580174927
31012846110,2021-02-19T07:45:30Z,77,21,20,36,66,66,0.10703363914373089
31012846109,2021-02-18T06:01:30Z,64,17,20,27,75,65,0.13593539703903096
31012846108,2021-02-17T10:51:00Z,82,22,19,41,89,66,0.13760603204524033
31012846107,2021-02-16T09:55:00Z,90,23,21,46,115,65,0.08373904576436222
30943883820,2021-02-15T11:58:30Z,83,22,19,42,101,66,0.1185617103984451
30926148017,2021-02-14T04:48:00Z,69,17,20,32,75,65,0.11659192825112108
30926148016,2021-02-13T08:57:00Z,79,22,20,37,114,64,0.12232779097387174
30906298798,2021-02-12T09:50:30Z,71,17,20,34,68,65,0.10906701708278581
